item_sku,rec_sku
103UFTS,F80
103UFTS,206AFXW
103UFTS,224SFFSMFR
103UFTS,110STMDY
103UFTS,SOEXM710
103UFTS,222SFFSFR
103UFTS,RXFMS606B
103UFTS,211FY
103UFTS,S9706KRA
103UFTS,110TMDY
103UFTS,SOEXM9
103UFTS,OEXM80B
103UFTS,SOEXM8
106ATMXW,T72
106ATMXW,206AFXW
106ATMXW,224SFFSMFR
106ATMXW,211FY
106ATMXW,110STMDY
106ATMXW,OEX8B
106ATMXW,SOEXM22
106ATMXW,110TMDY
106ATMXW,SOEXM21
106ATMXW,SSFP2
106ATMXW,SOEXM8
106BTMX,F80
106BTMX,SGASA204CR
106BTMX,110STMY
106BTMX,214IMFMYA
106BTMX,S9704KR
106BTMX,214SIMFMYA
106BTMX,206AFX
106BTMX,112STMMY
106BTMX,212FSMY
106BTMX,224SFFSMFR
106BTMX,110TMY
106BTMX,110STMDY
106BTMX,SOEXM9
106BTMX,112TMMY
106BTMX,124STTMM
106BTMX,SOEXM710
106BTMX,222SFFSFR
106BTMX,96ACF
106BTMX,211FY
106BTMX,SOEX710
106BTMX,86ACF
106BTMX,PWC27
106BTMX,AWS13
106BTMX,SOEX32
106BTMX,SOEX30
106BTMX,T72
106BTMX,46ACF
106BTMX,RULER602
106BTMX,SGDP42IRBR
106BTMX,OEXM80B
106BTMX,110TMDY
106BTMX,SGD4BR
106BTMX,61CF
106BTMX,SGDP31IRBR
106BTMX,S9706KRA
106BTMX,SGD6BR
106BTMX,UIM2FL
106BTMX,SOEXM8
106BTMX,HBSE10
106BTMX,SHDP22IRR
106BTMX,SHD1R
106BTMX,110ETMAY
106BTMX,TZK5
106BTMX,P90050A
106BTMX,MPC7A
106TMCO,WTRW6A
106TMCO,HSG319
106TMCO,EC-USB-C-3A
106TMCO,OEX711B
106TMCO,OEX10B
106TMCO,HBPT16
106TMCO,GA295
106TMCO,TMXK60
106TMCO,FXK6
106TMCO,OEX8B
106TMCO,211SFY
106TMCO,OEX11B
