item_sku,rec_sku,price
103UFTS,207IPSFM,429.0
103UFTS,205IPF,273.0
103UFTS,TMU8B,61.0
103UFTS,106TMUSA,356.0
103UFTS,IP80D,84.75
103UFTS,FU8A,67.0
103UFTS,103UFTS,213.5
103UFTS,IPF800B,70.25
103UFTS,207IPFM,435.0
103UFTS,307IPLMY,640.0
106IPTMMA,307IPLMY,640.0
106IPTMMA,106TMUSA,356.0
106IPTMMA,IP80D,84.75
106IPTMMA,103UFTS,213.5
106IPTMMA,IPF800B,70.25
106IPTMMA,207IPFM,435.0
106IPTMMA,FU8A,67.0
106IPTMMA,TMU8B,61.0
106IPTMMA,206FSUMA,403.0
106IPTMMA,206AFSA,381.0
106TMUSA,103UFTS,213.5
106TMUSA,IPF800B,70.25
106TMUSA,207IPFM,435.0
106TMUSA,206FSUMA,403.0
106TMUSA,TMU8B,61.0
106TMUSA,206AFSA,381.0
106TMUSA,FU8A,67.0
106TMUSA,TMU101A,58.25
106TMUSA,TMU81B,57.75
106TMUSA,TMU121A,58.25
111TMUSMA,307IPLMY,640.0
111TMUSMA,TMU8B,61.0
111TMUSMA,106TMUSA,356.0
111TMUSMA,IP80D,84.75
111TMUSMA,FU8A,67.0
111TMUSMA,103UFTS,213.5
111TMUSMA,IPF800B,70.25
111TMUSMA,207IPFM,435.0
111TMUSMA,206FSUMA,403.0
111TMUSMA,206AFSA,381.0
205IPF,IP80D,84.75
205IPF,FU8A,67.0
205IPF,103UFTS,213.5
205IPF,IPF800B,70.25
205IPF,206FSUMA,403.0
205IPF,312IPLM,1045.0
205IPF,207IPFM,435.0
205IPF,312IPL,1070.0
205IPF,307IPLY,595.0
205IPF,307IPLMY,640.0
206AFSA,205IPF,273.0
206AFSA,307IPLMY,640.0
206AFSA,106TMUSA,356.0
206AFSA,IP80D,84.75
206AFSA,103UFTS,213.5
206AFSA,IPF800B,70.25
206AFSA,207IPFM,435.0
206AFSA,FU8A,67.0
206AFSA,206FSUMA,403.0
206AFSA,TMU8B,61.0
206FSUMA,307IPLMY,640.0
206FSUMA,106TMUSA,356.0
206FSUMA,IP80D,84.75
206FSUMA,103UFTS,213.5
206FSUMA,IPF800B,70.25
206FSUMA,207IPFM,435.0
206FSUMA,S8,85.5
206FSUMA,FU8A,67.0
206FSUMA,TMU8B,61.0
206FSUMA,206AFSA,381.0
207IPFM,FU8A,67.0
207IPFM,103UFTS,213.5
207IPFM,207IPFM,435.0
207IPFM,206FSUMA,403.0
207IPFM,IPF800B,70.25
207IPFM,312IPLM,1045.0
207IPFM,312IPL,1070.0
