,query_sku,rec_sku,price
0,103TMXKLA,FKF80A,153.0
1,103TMXKLA,FC72,116.0
2,103TMXKLA,213AFLEY,294.0
3,103TMXKLA,TMS70A,27.25
4,103TMXKLA,207IPSFM,429.0
5,103TMXKLA,SGDXL80BR,263.0
6,103TMXKLA,305ASX,258.0
7,103TMXKLA,103TMXKLA,278.0
8,103TMXKLA,112TMMSY,307.0
9,103TMXKLA,912AEP,92.0
10,103UFTS,224SFFSMFR,690.0
11,103UFTS,F80,142.0
12,103UFTS,FXK6,42.0
13,103UFTS,211FY,246.0
14,103UFTS,110TMDY,177.5
15,103UFTS,106BTMX,160.5
16,103UFTS,110STMDY,284.0
17,103UFTS,SOEXM8,41.0
18,103UFTS,214SIMFMYA,396.0
19,103UFTS,S9706KRA,51.25
20,106ATMXW,110TMDY,177.5
21,106ATMXW,F80,142.0
22,106ATMXW,110STMDY,284.0
23,106ATMXW,106BTMX,160.5
24,106ATMXW,224SFFSMFR,690.0
25,106ATMXW,SOEXM8,41.0
26,106ATMXW,211FY,246.0
27,106ATMXW,106ATMXW,186.0
28,106ATMXW,T72,115.5
29,106ATMXW,SOEXM9,42.0
30,106BTMX,224SFFSMFR,690.0
31,106BTMX,106BTMX,160.5
32,106BTMX,211FY,246.0
33,106BTMX,110TMDY,177.5
34,106BTMX,SOEXM8,41.0
35,106BTMX,FXK6,42.0
36,106BTMX,F80,142.0
37,106BTMX,S9706KRA,51.25
38,106BTMX,SOEXM9,42.0
39,106BTMX,206AFXW,256.0
40,106IPTMMA,106IPTMMA,358.0
41,106IPTMMA,207IPFM,435.0
42,106IPTMMA,207IPSFM,429.0
43,106IPTMMA,112TMMSY,307.0
44,106IPTMMA,SHCP1B,214.5
45,106IPTMMA,210EFTXRY,407.0
46,106IPTMMA,325SIMM,1265.0
47,106IPTMMA,106TMUSMA,359.0
48,106IPTMMA,SGRHT6BR,247.0
49,106IPTMMA,307IPLMY,640.0
50,106TMUSA,T72,115.5
51,106TMUSA,61CF,58.5
52,106TMUSA,F80,142.0
53,106TMUSA,110TMDY,177.5
54,106TMUSA,OEX8B,39.75
55,106TMUSA,F4LB,66.5
56,106TMUSA,86ACF,59.75
57,106TMUSA,OEX711B,645.0
58,106TMUSA,110STMDY,284.0
59,106TMUSA,211FY,246.0
60,106TMUSMA,MT302,63.25
61,106TMUSMA,SGD153BR,26.75
62,106TMUSMA,SGDX80BR,219.5
63,106TMUSMA,S9706KRA,51.25
64,106TMUSMA,EC-USB-C-3A,43.25
65,106TMUSMA,FBST338,43.25
66,106TMUSMA,FZ7A,15.45
67,106TMUSMA,HBFE32,102.5
68,106TMUSMA,BHM9A,43.75
69,106TMUSMA,PPC710BK,318.0
70,107ATMPB,110TMDY,177.5
71,107ATMPB,110STMDY,284.0
72,107ATMPB,61CF,58.5
73,107ATMPB,F80,142.0
74,107ATMPB,211FY,246.0
75,107ATMPB,OEX8B,39.75
76,107ATMPB,OEX711B,645.0
77,107ATMPB,FXK6,42.0
78,107ATMPB,SOEX710,497.0
79,107ATMPB,FXK3,34.25
80,10MA,EC-USB-C-3A,43.25
81,10MA,110TMDY,177.5
82,10MA,211FY,246.0
83,10MA,F80,142.0
84,10MA,TA3,19.15
85,10MA,PPC105LA,39.75
86,10MA,61CF,58.5
87,10MA,FXK6,42.0
88,10MA,T72,115.5
89,10MA,A2A,22.5
90,10R,110TMDY,177.5
91,10R,F80,142.0
92,10R,EC-USB-C-3A,43.25
93,10R,211FY,246.0
94,10R,FXK6,42.0
95,10R,T72,115.5
96,10R,61CF,58.5
97,10R,YA337A,28.0
98,10R,F4LB,66.5
99,10R,106TMUSA,356.0
100,10SSD,PPC103A,19.4
101,10SSD,VS807B,379.0
102,10SSD,AW1013DK,67.25
103,10SSD,F80,142.0
104,10SSD,SGDX80BR,219.5
105,10SSD,HSG319,53.5
106,10SSD,FU8A,67.0
107,10SSD,110TMDY,177.5
108,10SSD,211FY,246.0
109,10SSD,T72,115.5
110,110ETMAY,110ETMAY,263.0
111,110ETMAY,SGD6BR,34.75
112,110ETMAY,PWC27,108.5
113,110ETMAY,UIM2FL,23.95
114,110ETMAY,SOEX710,497.0
115,110ETMAY,SOEX30,85.25
116,110ETMAY,MPC7A,24.0
117,110ETMAY,AWS13,65.0
118,110ETMAY,110TMDY,177.5
119,110ETMAY,HBSE10,62.75
120,110RTSMA,GF22,21.5
121,110RTSMA,13ELECTBP14KIT,955.0
122,110RTSMA,206ESSPKPLG2,417.0
123,110RTSMA,206SFSUM,473.0
124,110RTSMA,210AFSP,371.0
125,110RTSMA,ECUHD218,379.0
126,110RTSMA,208FRDHM,273.0
127,110RTSMA,2003LN,171.0
128,110RTSMA,110RTSMA,213.0
129,110RTSMA,112TMMDSY,307.0
130,110STMDY,F80,142.0
131,110STMDY,OEX711B,645.0
132,110STMDY,110STMDY,284.0
133,110STMDY,T72,115.5
134,110STMDY,FXK6,42.0
135,110STMDY,TA3,19.15
136,110STMDY,OEX10B,39.75
137,110STMDY,OEX8B,39.75
138,110STMDY,EC-USB-C-3A,43.25
139,110STMDY,211FY,246.0
140,110STMY,212SFSMY,391.0
141,110STMY,S9706KRA,51.25
142,110STMY,EC-USB-C-3A,43.25
143,110STMY,FXK3,34.25
144,110STMY,F80,142.0
145,110STMY,FU8A,67.0
146,110STMY,211SFSY,377.0
147,110STMY,TMXK60,28.75
148,110STMY,FXK6,42.0
149,110STMY,SXK5,47.75
150,110TMDY,110TMDY,177.5
151,110TMDY,F80,142.0
152,110TMDY,OEX711B,645.0
153,110TMDY,110STMDY,284.0
154,110TMDY,91ACP,52.75
155,110TMDY,10MA,19.25
156,110TMDY,TA3,19.15
157,110TMDY,GA295,21.5
158,110TMDY,OEX10B,39.75
159,110TMDY,OEX8B,39.75
160,110TMSY,110TMDY,177.5
161,110TMSY,110STMDY,284.0
162,110TMSY,211SFSY,377.0
163,110TMSY,212SFSMY,391.0
164,110TMSY,OEXM80B,39.75
165,110TMSY,SOEXM8,41.0
166,110TMSY,112STMMY,355.0
167,110TMSY,OEXM90B,41.0
168,110TMSY,211FSY,246.0
169,110TMSY,RXFS605B,296.0
170,110TMY,FXK3,34.25
171,110TMY,EC-USB-C-3A,43.25
172,110TMY,S9706KRA,51.25
173,110TMY,PPC710BK,318.0
174,110TMY,F80,142.0
175,110TMY,212SFSMY,391.0
176,110TMY,GSAF1F,27.0
177,110TMY,FXK6,42.0
178,110TMY,96ACF,59.5
179,110TMY,TMXK60,28.75
180,111STMMDY,110TMDY,177.5
181,111STMMDY,112STMMY,355.0
182,111STMMDY,212SFSMY,391.0
183,111STMMDY,110STMDY,284.0
184,111STMMDY,S9706KRA,51.25
185,111STMMDY,211FY,246.0
186,111STMMDY,211SFSY,377.0
187,111STMMDY,F80,142.0
188,111STMMDY,112TMMY,245.0
189,111STMMDY,FXK6,42.0
190,111TMMDY,F80,142.0
191,111TMMDY,110STMDY,284.0
192,111TMMDY,211SFSY,377.0
193,111TMMDY,EC-USB-C-3A,43.25
