item_sku,rec_sku,category,rec_category
TMMS7,91ACP,Socket and Drive Tools,Pliers
TMMS7,SGD2BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SHD1R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,PPC206A,Socket and Drive Tools,"Hammers, Punches, and Chisels"
TMMS7,SHD4R,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SGDP63IRBR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
TMMS7,97ACF,Socket and Drive Tools,Pliers
TMMS7,HBFE24,Socket and Drive Tools,"Hammers, Punches, and Chisels"
TMMS7,GA460B,Socket and Drive Tools,Job Specific Tools
TMMS7,OXIM707SBK,Socket and Drive Tools,Wrenches
FTX40E,S9704KR,Socket and Drive Tools,Job Specific Tools
FTX40E,131A,Socket and Drive Tools,Job Specific Tools
FTX40E,OEXM6B,Socket and Drive Tools,Wrenches
FTX40E,AC58E,Socket and Drive Tools,Job Specific Tools
FTX40E,SOEX38,Socket and Drive Tools,Wrenches
FTX40E,PGP50,Socket and Drive Tools,Job Specific Tools
FTX40E,SR40K,Socket and Drive Tools,General Hand Tools
FTX40E,AD12C,Socket and Drive Tools,Wrenches
FTX40E,AWM140DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FTX40E,AW1020DK,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
HBBD16,SOEXM9,"Hammers, Punches, and Chisels",Wrenches
HBBD16,120STTM,"Hammers, Punches, and Chisels",Socket and Drive Tools
HBBD16,AWMG9,"Hammers, Punches, and Chisels","Screwdrivers, Nut Drivers & Keys"
HBBD16,MTTL300,"Hammers, Punches, and Chisels",Testing and Electronics
HBBD16,PTIM5,"Hammers, Punches, and Chisels",General Hand Tools
HBBD16,AT4135,"Hammers, Punches, and Chisels",Power Tool Accessories
HBBD16,PK52A,"Hammers, Punches, and Chisels",General Hand Tools
HBBD16,AD10C,"Hammers, Punches, and Chisels",Wrenches
HBBD16,TFM7530B,"Hammers, Punches, and Chisels",General Hand Tools
HBBD16,VO806B,"Hammers, Punches, and Chisels",Wrenches
STMM5.5,SGASA204CR,Socket and Drive Tools,General Hand Tools
STMM5.5,PWCS7ACF,Socket and Drive Tools,Pliers
STMM5.5,SGDX60BR,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,LN46ACF,Socket and Drive Tools,Pliers
STMM5.5,UIM225,Socket and Drive Tools,General Hand Tools
STMM5.5,PKNC150,Socket and Drive Tools,General Hand Tools
STMM5.5,OFW3,Socket and Drive Tools,Job Specific Tools
STMM5.5,FB303B,Socket and Drive Tools,General Hand Tools
STMM5.5,GF22,Socket and Drive Tools,Job Specific Tools
STMM5.5,AWCGT500,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SPBS18AR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWTEFTP11K,47ACF,"Screwdrivers, Nut Drivers & Keys",Pliers
