item_sku,rec_sku,category,rec_category
TMMS7,TMMS6,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS13,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS10,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS9,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS5.5,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS11,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS12,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS15,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS4.5,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS4,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TWM29,Socket and Drive Tools,Socket and Drive Tools
FTX40E,210AFLEY,Socket and Drive Tools,Socket and Drive Tools
FTX40E,207EFTXY,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FTX45E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FTX50E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX8E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX10E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX20E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX25E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX15E,Socket and Drive Tools,Socket and Drive Tools
HBBD16,HBBD16,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPSG4,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC1A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD32,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD8,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBFE16,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPB826A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBPT24,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC905B,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPSG105,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
STMM5.5,TMM5.5,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM13,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM9,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM11,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM14,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,STMM6,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM6,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,STMM15,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,STMM5,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM8,Socket and Drive Tools,Socket and Drive Tools
AWTEFTP11K,SGD155CR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGD6BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGD2BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SHD1R,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SHDP63IRR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGDXL80BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGDMRC44B,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGDMRC4-TM4,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
AWTEFTP11K,SGHF616BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
TPMB25,TPMB25EM,General Hand Tools,General Hand Tools
TPMB25,YA337A,General Hand Tools,General Hand Tools
TPMB25,CSA12CR,General Hand Tools,General Hand Tools
TPMB25,SR40K,General Hand Tools,General Hand Tools
TPMB25,FB303B,General Hand Tools,General Hand Tools
TPMB25,10R,General Hand Tools,General Hand Tools
TPMB25,TF5A,General Hand Tools,General Hand Tools
TPMB25,GA98A,General Hand Tools,General Hand Tools
TPMB25,PKRS1,General Hand Tools,General Hand Tools
TPMB25,PKNG90,General Hand Tools,General Hand Tools
TMR4R,F4LBK,Socket and Drive Tools,Socket and Drive Tools
TMR4R,110STMY,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TL72,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX20E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,STMD6,Socket and Drive Tools,Socket and Drive Tools
TMR4R,STMD7,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX8E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX10E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX15E,Socket and Drive Tools,Socket and Drive Tools
TMR4R,TTX25E,Socket and Drive Tools,Socket and Drive Tools
TMXM114,GMB3042,Socket and Drive Tools,Socket and Drive Tools
TMXM114,TK72,Socket and Drive Tools,Socket and Drive Tools
TMXM114,IPLM24C,Socket and Drive Tools,Socket and Drive Tools
TMXM114,TMUS181A,Socket and Drive Tools,Socket and Drive Tools
TMXM114,TMUS141A,Socket and Drive Tools,Socket and Drive Tools
TMXM114,GLAS1F,Socket and Drive Tools,Socket and Drive Tools
TMXM114,IP80D,Socket and Drive Tools,Socket and Drive Tools
TMXM114,TA3,Socket and Drive Tools,Socket and Drive Tools
TMXM114,GSAF1F,Socket and Drive Tools,Socket and Drive Tools
TMXM114,FXK6,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPSM21,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM21C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM18C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM19C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM24C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM17C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM14C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,IPLM13C,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,106IPTMMA,Socket and Drive Tools,Socket and Drive Tools
IPDLM17A,207IPSFM,Socket and Drive Tools,Socket and Drive Tools
R404,R404,Job Specific Tools,Job Specific Tools
R404,BTK5,Job Specific Tools,Job Specific Tools
R404,S6106KA,Job Specific Tools,Job Specific Tools
R404,ACT407,Job Specific Tools,Job Specific Tools
R404,ACT83A,Job Specific Tools,Job Specific Tools
R404,ACT413A,Job Specific Tools,Job Specific Tools
R404,AF102,Job Specific Tools,Job Specific Tools
R404,BT518,Job Specific Tools,Job Specific Tools
R404,PGP120,Job Specific Tools,Job Specific Tools
R404,ACT73A,Job Specific Tools,Job Specific Tools
SR80A,FR80,Socket and Drive Tools,Socket and Drive Tools
SR80A,TR72,Socket and Drive Tools,Socket and Drive Tools
SR80A,TRF72,Socket and Drive Tools,Socket and Drive Tools
SR80A,310SWMYA,Socket and Drive Tools,Socket and Drive Tools
SR80A,313SYA,Socket and Drive Tools,Socket and Drive Tools
SR80A,131TMPB,Socket and Drive Tools,Socket and Drive Tools
SR80A,SFSM20,Socket and Drive Tools,Socket and Drive Tools
SR80A,313SMYA,Socket and Drive Tools,Socket and Drive Tools
SR80A,313SWYA,Socket and Drive Tools,Socket and Drive Tools
SR80A,TFY72,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM17,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM18,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM19,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM15,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM8,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM13,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM12,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM10,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM9,Socket and Drive Tools,Socket and Drive Tools
SFSM11,SFSM14,Socket and Drive Tools,Socket and Drive Tools
SGA173BR,SGRHT6BR,Job Specific Tools,Job Specific Tools
SGA173BR,SGRHT2BR,Job Specific Tools,Job Specific Tools
SGA173BR,SHCP1B,Job Specific Tools,Job Specific Tools
SGA173BR,SGA175BR,Job Specific Tools,Job Specific Tools
SGA173BR,SGA174BR,Job Specific Tools,Job Specific Tools
SGA173BR,SGA1710BR,Job Specific Tools,Job Specific Tools
SGA173BR,SGA1711BR,Job Specific Tools,Job Specific Tools
SGA173BR,SGA1712BR,Job Specific Tools,Job Specific Tools
SGA173BR,S9704KA,Job Specific Tools,Job Specific Tools
SGA173BR,AC5C,Job Specific Tools,Job Specific Tools
313TWYA,313TSYA,Socket and Drive Tools,Socket and Drive Tools
313TWYA,313TSMYA,Socket and Drive Tools,Socket and Drive Tools
313TWYA,313TWMYA,Socket and Drive Tools,Socket and Drive Tools
313TWYA,TWM25,Socket and Drive Tools,Socket and Drive Tools
313TWYA,TW401,Socket and Drive Tools,Socket and Drive Tools
313TWYA,TWM26,Socket and Drive Tools,Socket and Drive Tools
313TWYA,TWM29,Socket and Drive Tools,Socket and Drive Tools
313TWYA,TWM31,Socket and Drive Tools,Socket and Drive Tools
313TWYA,TWM28,Socket and Drive Tools,Socket and Drive Tools
313TWYA,TWM30,Socket and Drive Tools,Socket and Drive Tools
FHR80G,THR72,Socket and Drive Tools,Socket and Drive Tools
FHR80G,THL72,Socket and Drive Tools,Socket and Drive Tools
FHR80G,SH80A,Socket and Drive Tools,Socket and Drive Tools
FHR80G,FHBB12A,Socket and Drive Tools,Socket and Drive Tools
FHR80G,FHOF80A,Socket and Drive Tools,Socket and Drive Tools
FHR80G,THLL72,Socket and Drive Tools,Socket and Drive Tools
FHR80G,FSS141,Socket and Drive Tools,Socket and Drive Tools
FHR80G,FSS121,Socket and Drive Tools,Socket and Drive Tools
FHR80G,FHL80,Socket and Drive Tools,Socket and Drive Tools
FHR80G,FH80MP,Socket and Drive Tools,Socket and Drive Tools
F80,S80A,Socket and Drive Tools,Socket and Drive Tools
F80,206EAU,Socket and Drive Tools,Socket and Drive Tools
F80,114ATMP,Socket and Drive Tools,Socket and Drive Tools
F80,F10LD,Socket and Drive Tools,Socket and Drive Tools
F80,FXWP3,Socket and Drive Tools,Socket and Drive Tools
F80,117TMM,Socket and Drive Tools,Socket and Drive Tools
F80,FRX181,Socket and Drive Tools,Socket and Drive Tools
F80,107ATMPB,Socket and Drive Tools,Socket and Drive Tools
F80,211SFSY,Socket and Drive Tools,Socket and Drive Tools
F80,FXK11,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM190,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM220,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM210,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM180,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM200,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM240,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM230,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM110A,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIMM100A,Socket and Drive Tools,Socket and Drive Tools
SIMM170,SIM240,Socket and Drive Tools,Socket and Drive Tools
SHD4O,SHDX60R,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SHDX80R,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SGDEP20ESD,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SHDP31IRR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SHDP42IRR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SHD2R,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SHD6R,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SHDP63IRR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,SHD1R,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SHD4O,AW1013DK,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGDX80BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGDX60BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SS5A,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGD4BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGDP31IRBR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGDP42IRBR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGD2BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGD8BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGDP64IRBR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
SGD6BG,SGDP63IRBR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
FM10,FM12,Socket and Drive Tools,Socket and Drive Tools
FM10,FM14,Socket and Drive Tools,Socket and Drive Tools
