item_sku,rec_sku,category,rec_category
TMMS7,SGASA204CR,Flank Drive® Sockets,General Hand Tools
TMMS7,47ACF,Flank Drive® Sockets,Pliers
TMMS7,SGDP42IRBR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SGDP31IRBR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
TMMS7,SGD2BR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
TMMS7,96ACF,Flank Drive® Sockets,Pliers
TMMS7,FXK3,Flank Drive® Sockets,"3/8"" Drive Extensions"
TMMS7,T72,Flank Drive® Sockets,Ratchets
TMMS7,BLPTHC87,Flank Drive® Sockets,Socket and Drive Tools - Other
TMMS7,TMXK2,Flank Drive® Sockets,Extensions
FTX40E,91ACP,TORX® Bit Sockets,Pliers
FTX40E,SGDP31IRBR,TORX® Bit Sockets,"Screwdrivers, Nut Drivers & Keys"
FTX40E,96ACF,TORX® Bit Sockets,Pliers
FTX40E,FXK6,TORX® Bit Sockets,"3/8"" Drive Extensions"
FTX40E,FXK3,TORX® Bit Sockets,"3/8"" Drive Extensions"
FTX40E,TMXK2,TORX® Bit Sockets,Extensions
FTX40E,TMXK60,TORX® Bit Sockets,Extensions
FTX40E,FHLF80A,TORX® Bit Sockets,"3/8"" Drive Ratchets"
FTX40E,SIMM210,TORX® Bit Sockets,Flank Drive® Impact Sockets
FTX40E,ATECH3FR300B,TORX® Bit Sockets,Electronic Torque Wrenches
HBBD16,SOEXM8,"Hammers, Punches, and Chisels",Wrenches
HBBD16,S9704KR,"Hammers, Punches, and Chisels",Job Specific Tools
HBBD16,AWS13,"Hammers, Punches, and Chisels","Screwdrivers, Nut Drivers & Keys"
HBBD16,SOEXM9,"Hammers, Punches, and Chisels",Wrenches
HBBD16,MTTL300,"Hammers, Punches, and Chisels",Testing and Electronics
HBBD16,212EFTAY,"Hammers, Punches, and Chisels","1/4"" Drive Hex Bit Sockets"
HBBD16,PTIM5,"Hammers, Punches, and Chisels",General Hand Tools
HBBD16,206AFSP,"Hammers, Punches, and Chisels",General Service Sets
HBBD16,8HR,"Hammers, Punches, and Chisels",General Hand Tools
HBBD16,GA98A,"Hammers, Punches, and Chisels",General Hand Tools
STMM5.5,SPBS8AR,Flank Drive® Sockets,General Hand Tools
STMM5.5,91ACP,Flank Drive® Sockets,Pliers
STMM5.5,SGD2BR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,SHD1R,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,BLPTHC87,Flank Drive® Sockets,Socket and Drive Tools - Other
STMM5.5,FXK11,Flank Drive® Sockets,"3/8"" Drive Extensions"
STMM5.5,SGD8BR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
STMM5.5,SIMM190,Flank Drive® Sockets,Flank Drive® Impact Sockets
STMM5.5,SIMM160A,Flank Drive® Sockets,Flank Drive® Impact Sockets
STMM5.5,SIMM200,Flank Drive® Sockets,Flank Drive® Impact Sockets
AWTEFTP11K,SPBS18AR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWTEFTP11K,SGASA204CR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWTEFTP11K,SPBS12AR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWTEFTP11K,SPBS8AR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWTEFTP11K,91ACP,"Screwdrivers, Nut Drivers & Keys",Pliers
AWTEFTP11K,96ACF,"Screwdrivers, Nut Drivers & Keys",Pliers
AWTEFTP11K,ATECH2FR125B,"Screwdrivers, Nut Drivers & Keys",Electronic Torque Wrenches
AWTEFTP11K,FXK6,"Screwdrivers, Nut Drivers & Keys","3/8"" Drive Extensions"
AWTEFTP11K,FXK3,"Screwdrivers, Nut Drivers & Keys","3/8"" Drive Extensions"
AWTEFTP11K,T72,"Screwdrivers, Nut Drivers & Keys",Ratchets
TPMB25,GAJ12A,General Hand Tools,Wrenches
TPMB25,DS809K,General Hand Tools,Wrenches
TPMB25,B3404B,General Hand Tools,Job Specific Tools
TPMB25,OEX38B,General Hand Tools,Wrenches
TPMB25,OFW2,General Hand Tools,Job Specific Tools
TPMB25,DB129C,General Hand Tools,Power Tool Accessories
TPMB25,AW1013DK,General Hand Tools,"Screwdrivers, Nut Drivers & Keys"
TPMB25,R404,General Hand Tools,Job Specific Tools
TPMB25,OFW3,General Hand Tools,Job Specific Tools
TPMB25,222AFSP,General Hand Tools,General Service Sets
TMR4R,LP404,Socket and Drive Tools - Other,Pliers
TMR4R,STMD6,Socket and Drive Tools - Other,Flank Drive® Sockets
TMR4R,STMD7,Socket and Drive Tools - Other,Flank Drive® Sockets
TMR4R,PWCS9ACF,Socket and Drive Tools - Other,Pliers
TMR4R,TTX20E,Socket and Drive Tools - Other,TORX® Bit Sockets
TMR4R,TTX25E,Socket and Drive Tools - Other,TORX® Bit Sockets
TMR4R,TTX15E,Socket and Drive Tools - Other,TORX® Bit Sockets
TMR4R,TTX10E,Socket and Drive Tools - Other,TORX® Bit Sockets
TMR4R,TTX8E,Socket and Drive Tools - Other,TORX® Bit Sockets
TMR4R,RXFS605B,Socket and Drive Tools - Other,Wrenches
TMXM114,FXK6,Socket/Ratchet Accessories,"3/8"" Drive Extensions"
TMXM114,PPC103A,Socket/Ratchet Accessories,"Hammers, Punches, and Chisels"
TMXM114,LN47ACF,Socket/Ratchet Accessories,Pliers
TMXM114,HBFE32,Socket/Ratchet Accessories,"Hammers, Punches, and Chisels"
TMXM114,PH3050BR,Socket/Ratchet Accessories,"Power Tools, Air"
TMXM114,LN46ACF,Socket/Ratchet Accessories,Pliers
TMXM114,IP80D,Socket/Ratchet Accessories,Socket and Drive Tools - Other
TMXM114,808CF,Socket/Ratchet Accessories,Pliers
TMXM114,CSA8CR,Socket/Ratchet Accessories,General Hand Tools
TMXM114,GLAS1F,Socket/Ratchet Accessories,Socket and Drive Tools - Other
IPDLM17A,SGASA204CR,Flank Drive® Impact Swivel Sockets,General Hand Tools
IPDLM17A,SPBS8AR,Flank Drive® Impact Swivel Sockets,General Hand Tools
IPDLM17A,ATECH2FR125B,Flank Drive® Impact Swivel Sockets,Electronic Torque Wrenches
IPDLM17A,PL400B,Flank Drive® Impact Swivel Sockets,Pliers
IPDLM17A,T72,Flank Drive® Impact Swivel Sockets,Ratchets
IPDLM17A,BLPTHC87,Flank Drive® Impact Swivel Sockets,Socket and Drive Tools - Other
IPDLM17A,SGDX80BR,Flank Drive® Impact Swivel Sockets,"Screwdrivers, Nut Drivers & Keys"
IPDLM17A,SIMM190,Flank Drive® Impact Swivel Sockets,Flank Drive® Impact Sockets
IPDLM17A,GFAT1E,Flank Drive® Impact Swivel Sockets,Socket/Ratchet Accessories
IPDLM17A,TMU8B,Flank Drive® Impact Swivel Sockets,Socket/Ratchet Accessories
R404,LP404,Job Specific Tools,Pliers
R404,144TMPB,Job Specific Tools,Socket and Drive Tools - Other
R404,TMBS8A,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,EECT424HD,Job Specific Tools,Testing and Electronics
R404,206AFSP,Job Specific Tools,General Service Sets
R404,OEX38B,Job Specific Tools,Wrenches
R404,AW1015DHK,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,AWM110DHK,Job Specific Tools,"Screwdrivers, Nut Drivers & Keys"
R404,218AFP,Job Specific Tools,General Service Sets
R404,YA2019,Job Specific Tools,General Hand Tools
SR80A,RBYA605,Ratchets,Wrenches
SR80A,PHP2A,Ratchets,Job Specific Tools
SR80A,KRA2407PBO,Ratchets,Classic Series Tool Storage
SR80A,AT700F,Ratchets,"Power Tools, Air"
SR80A,AWEF6K,Ratchets,"Screwdrivers, Nut Drivers & Keys"
SR80A,FF80A,Ratchets,"3/8"" Drive Ratchets"
SR80A,313TSYA,Ratchets,Flank Drive® Sockets
SR80A,313SWYA,Ratchets,Flank Drive® Sockets
SR80A,FR80,Ratchets,"3/8"" Drive Ratchets"
SR80A,FC72,Ratchets,"3/8"" Drive Ratchets"
SFSM11,SPBS18AR,Flank Drive® Sockets,General Hand Tools
SFSM11,SGASA204CR,Flank Drive® Sockets,General Hand Tools
SFSM11,SPBS8AR,Flank Drive® Sockets,General Hand Tools
SFSM11,47ACF,Flank Drive® Sockets,Pliers
SFSM11,SGDP42IRBR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
SFSM11,SGDP31IRBR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
SFSM11,SGD6BR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
SFSM11,SGD2BR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
SFSM11,96ACF,Flank Drive® Sockets,Pliers
SFSM11,TMXK2,Flank Drive® Sockets,Extensions
SGA173BR,BLPTHC87,Job Specific Tools,Socket and Drive Tools - Other
SGA173BR,SIMM220,Job Specific Tools,Flank Drive® Impact Sockets
SGA173BR,ATECH3FR300B,Job Specific Tools,Electronic Torque Wrenches
SGA173BR,212SFSMY,Job Specific Tools,Flank Drive® Sockets
SGA173BR,SGT4BR,Job Specific Tools,Socket and Drive Tools - Other
SGA173BR,UPT35,Job Specific Tools,General Hand Tools
SGA173BR,206EAU,Job Specific Tools,Socket/Ratchet Accessories
SGA173BR,LP10WR,Job Specific Tools,Pliers
SGA173BR,UIM225,Job Specific Tools,General Hand Tools
SGA173BR,117TMM,Job Specific Tools,Socket and Drive Tools - Other
313TWYA,SHDP42IRR,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
313TWYA,SAM19E,Flank Drive® Sockets,Socket and Drive Tools - Other
313TWYA,RC980,Flank Drive® Sockets,Job Specific Tools
313TWYA,STX70E,Flank Drive® Sockets,Socket and Drive Tools - Other
313TWYA,YA2850A,Flank Drive® Sockets,Job Specific Tools
313TWYA,206AFSA,Flank Drive® Sockets,Socket and Drive Tools - Other
313TWYA,HD6529,Flank Drive® Sockets,Job Specific Tools
313TWYA,GF22,Flank Drive® Sockets,Job Specific Tools
313TWYA,EFPHANNIBALB,Flank Drive® Sockets,Ear And Face Protection
313TWYA,AWMBPH9,Flank Drive® Sockets,"Screwdrivers, Nut Drivers & Keys"
FHR80G,SHX80B,"3/8"" Drive Ratchets",Ratchets
FHR80G,SH80A,"3/8"" Drive Ratchets",Ratchets
FHR80G,SHL80A,"3/8"" Drive Ratchets",Ratchets
FHR80G,THNF72,"3/8"" Drive Ratchets",Ratchets
FHR80G,THL72,"3/8"" Drive Ratchets",Ratchets
FHR80G,THLX72,"3/8"" Drive Ratchets",Ratchets
FHR80G,SHLL80A,"3/8"" Drive Ratchets",Ratchets
FHR80G,FHBB18A,"3/8"" Drive Ratchets",Socket and Drive Tools - Other
FHR80G,FHBB12A,"3/8"" Drive Ratchets",Socket and Drive Tools - Other
FHR80G,OEXS709B,"3/8"" Drive Ratchets",Wrenches
F80,FXK11,"3/8"" Drive Ratchets","3/8"" Drive Extensions"
F80,S80A,"3/8"" Drive Ratchets",Ratchets
