item_sku,rec_sku,similarity_score
111TMUSMA,206FSUMA,81.46
111TMUSMA,XLE605,75.24
111TMUSMA,208AFX,73.9
111TMUSMA,206SFSUM,73.4
111TMUSMA,208EFTABMY,72.95
111TMUSMA,210FRHMA,72.1
111TMUSMA,OXIM710B,71.85
111TMUSMA,210EFTAMY,71.48
111TMUSMA,213AFLEY,68.86
111TMUSMA,XOM605,68.41
PWCS7ACF,29ACF,70.98
PWCS7ACF,PWCS9ACF,70.25
PWCS7ACF,SGASA204CR,67.92
PWCS7ACF,SPBS704AR,64.6
PWCS7ACF,RTD48,63.78
PWCS7ACF,HBBD32,62.48
PWCS7ACF,HBBD24,61.78
PWCS7ACF,HBBD16,61.71
PWCS7ACF,HL138ACP,60.74
PWCS7ACF,SGDX40BR,60.58
SSFP2,SSF1,98.49
SSFP2,SSFP1,97.35
SSFP2,908CF,75.1
SSFP2,912AEP,69.25
SSFP2,BTWSMPK,68.53
SSFP2,SGDMRC4A,67.51
SSFP2,SGDMRCE44,66.41
SSFP2,TMS4E,64.95
SSFP2,86EP,64.51
SSFP2,SGCP1BR,63.56
KCP1422PBO,KWSP2455AST,60.1
KCP1422PBO,KWSN2455ABL,57.06
KCP1422PBO,KWSN2455AST,54.46
KCP1422PBO,KCP2422PBO,49.04
KCP1422PBO,ECFLD030,48.81
KCP1422PBO,KWSP2455ABL,45.52
KCP1422PBO,ATECH3FR300B,44.95
KCP1422PBO,SLX80A,44.03
KCP1422PBO,BLPTHC87,43.61
KCP1422PBO,325SIMM,43.6
CT861K2,CTLMAG-BOOT,78.03
CT861K2,CTR861AK2,68.17
CT861K2,CTR867AK2,65.52
CT861K2,CTS861K2,60.66
CT861K2,214SIMFMYA,59.46
CT861K2,204IMXA,57.86
CT861K2,312SIMM,57.46
CT861K2,207IPFM,57.3
CT861K2,212IMFMSYA,57
CT861K2,CTLED861,56.98
FKF80A,FC72,69.79
FKF80A,TKF72,69.68
FKF80A,FCF72,67.57
FKF80A,TK72,65.35
FKF80A,FK80,63.9
FKF80A,CSSD1R,61.07
FKF80A,TLLF72,60.36
FKF80A,XFR704,59.81
FKF80A,305SXWP,59.67
FKF80A,HCP48BCF,59.43
HBFE24,HBFE16,78.58
HBFE24,HBBD16,77.88
HBFE24,208EPIT,77.08
HBFE24,SPBS12AR,73.79
HBFE24,SGASA204CR,73.46
HBFE24,HBBD24,71.1
HBFE24,HBFE48,71.04
HBFE24,HBPT16,70.52
HBFE24,GA295,68.1
HBFE24,HBFE32,67.4
OEXM6B,OEXM7B,90.67
OEXM6B,OEXM9B,84.03
OEXM6B,OEXM8B,83.19
OEXM6B,OEXM90B,79.38
OEXM6B,OEXM80B,76.6
OEXM6B,1650,76.21
OEXM6B,PK53A,75.3
OEXM6B,AC58E,74.43
OEXM6B,BTC7B,73.52
OEXM6B,AWM140DK,73.47
JT13B,DB129C,80.55
JT13B,BP32B,80.46
JT13B,TPM16,78.96
JT13B,BP16B,76.76
JT13B,AC5C,76.09
JT13B,CSA12CR,74.62
JT13B,YA1050B,73.94
JT13B,1650,73.13
JT13B,BP24B,72.84
JT13B,GA295,72.39
1250,650,74.66
1250,2050,72.69
1250,FBST338,72.59
1250,1650,71.68
1250,SR40K,70.09
1250,BTC7B,67.98
1250,AWMG9,67.24
1250,CSA12CR,66.04
1250,SPBS12AR,65.16
1250,GAJ12A,64.82
TPM16,GAJ12A,79.87
TPM16,AC5C,79.3
TPM16,JT13B,78.96
TPM16,RULER601,77.66
TPM16,BP16B,77.05
TPM16,GA460B,76.82
TPM16,TPMB25,76.37
TPM16,PK53A,74.73
TPM16,CSA12CR,74.71
TPM16,UTK100,74.54
GSAF1F,GFAT1E,88.45
GSAF1F,A2A,85.18
GSAF1F,PPC710BK,77.74
GSAF1F,TA3,77.1
GSAF1F,FXK11,74.89
GSAF1F,S8,74.07
GSAF1F,FU8A,73.79
GSAF1F,S9706KRA,72.61
GSAF1F,212EFTXY,72.29
GSAF1F,SGT4BR,72.25
PBN500,LP404,73.5
PBN500,1206GS,67.74
PBN500,124STTMM,65.79
PBN500,SPBS704AR,65.45
PBN500,213AFLEY,64.82
PBN500,106BTMX,64.54
PBN500,103UFTS,64.23
PBN500,PL400B,64.08
PBN500,SGASA204CR,63.38
PBN500,305ASX,62.52
F4LB,TMS4E,83.63
F4LB,TA3,74.05
F4LB,GA295,70.17
F4LB,S6106KA,69.88
F4LB,A2A,69.01
F4LB,F10LD,66.67
F4LB,HBPT16,66.42
F4LB,GFAT1E,65.55
F4LB,DS809K,65.09
F4LB,211FY,64.23
211SFSY,211FSY,91.89
211SFSY,110STMY,80.79
211SFSY,212FSMY,80.57
211SFSY,212SFSMY,79.77
211SFSY,PPC710BK,77.09
211SFSY,114ATMP,76.98
211SFSY,112TMMY,76.72
211SFSY,FXK11,75.56
211SFSY,110TMY,73.73
211SFSY,CSA8CR,73.65
209TFSMYA,312IPLM,61.06
209TFSMYA,ASTFUN19KIT,59.84
209TFSMYA,207IPSFM,58.17
209TFSMYA,YA9350B,57.8
209TFSMYA,ACT900,56.75
209TFSMYA,IPLM22C,56.73
209TFSMYA,LSR1500,55.8
209TFSMYA,SVTA9100,55.21
209TFSMYA,207IMFLE,53.99
209TFSMYA,106IPTMMA,53.86
TMS4E,F4LB,83.63
TMS4E,TMR4,71.16
TMS4E,ST50A,68.9
TMS4E,DS809K,68.63
TMS4E,S6106KA,67.78
TMS4E,PWC52A,66.48
TMS4E,106TMUSA,65.61
TMS4E,SSF1,65.04
TMS4E,SSFP2,64.95
TMS4E,OXI707BK,64.45
307IPLY,312IPL,82.24
307IPLY,205IPF,81.63
307IPLY,311IMFSY,78.36
307IPLY,320SIM,77.97
307IPLY,307IPLMY,73.63
307IPLY,PBMP703A,73.5
307IPLY,SX20,70.88
307IPLY,212SIMFYA,68.49
307IPLY,PBS704,67.97
307IPLY,307ESAMY,67.9
CTR861AK2,CT861K2,68.17
CTR861AK2,CT9010K2,60.89
CTR861AK2,CTS861K2,60.81
CTR861AK2,CTLED861,57.41
CTR861AK2,CTLMAG-BOOT,56.53
CTR861AK2,CT825DB,56.39
CTR861AK2,CTLU861,55.88
CTR861AK2,CT9050K2,55.84
CTR861AK2,214SIMFMYA,54.31
CTR861AK2,SOXRRM710A,52.9
B3404B,B1356E,93.63
B3404B,BT11,90.5
B3404B,131A,89
B3404B,S6118A,87.49
B3404B,ACT83A,83.58
B3404B,ITHE100,79.94
B3404B,2004BSKA,71.88
B3404B,AC58E,71.85
B3404B,FB361A,71.77
B3404B,JCK8,70.91
SPBS704AR,HBBD32,85.28
SPBS704AR,HBBD24,83.68
SPBS704AR,HBFE103,81.58
SPBS704AR,PL400B,81.5
SPBS704AR,SGASA204CR,80.28
SPBS704AR,SGASA104BR,75.64
SPBS704AR,LP404,75.14
SPBS704AR,HBBD16,74.12
SPBS704AR,PBS704,73.97
SPBS704AR,HBFE48,73.47
TA3,GFAT1E,90.1
TA3,A2A,89.21
TA3,HBPT16,80.17
TA3,FU8A,79.04
TA3,TMU8B,77.54
TA3,GSAF1F,77.1
TA3,F4LB,74.05
TA3,FX1,73.65
TA3,TMXK4,72.83
TA3,GA295,72.49
ATECH3FR250B,212EFTXY,56.07
ATECH3FR250B,211EFAMY,53.47
ATECH3FR250B,TECH2FR100,53.23
ATECH3FR250B,PPC710BK,52.53
ATECH3FR250B,1206GS,52.18
ATECH3FR250B,SOEXM710,52.11
ATECH3FR250B,315IMMYA,52.07
ATECH3FR250B,213AFLEY,52.07
ATECH3FR250B,SVTS272A,51.57
ATECH3FR250B,RXFMS606B,50.77
PT28E,AWMG9,87.74
PT28E,HSG319,87.41
PT28E,RULER601,86.85
PT28E,AWS13,84.87
PT28E,PPB816A,83.58
PT28E,GAJ12A,83.12
PT28E,8R,80.73
PT28E,BTC7B,80.59
PT28E,GA296B,80.23
PT28E,PK53A,78.94
TMD6,TMD16,91.51
TMD6,TMD9,90.06
TMD6,TMD7,88.55
TMD6,TMD11,87.34
TMD6,TMD18,84.78
TMD6,F281,84.17
TMD6,TMD10,82.8
TMD6,SF261,82.73
TMD6,STMD14,82.73
TMD6,F201,82.68
BLPTHC87,SPBS704AR,71.11
BLPTHC87,PL400B,68.24
BLPTHC87,206AFXW,67.64
BLPTHC87,SOXRRM710A,66.72
BLPTHC87,HBBD24,66.14
BLPTHC87,HBFE32,65.34
BLPTHC87,SGRHT6BR,64.81
BLPTHC87,PPC710BK,64.57
BLPTHC87,304IMX,64.32
