item_sku,rec_sku,category,rec_category
TMMS7,TMMS5,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS14,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS13,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS15,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS10,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS4.5,Socket and Drive Tools,Socket and Drive Tools
TMMS7,TMMS4,Socket and Drive Tools,Socket and Drive Tools
TMMS7,FSS121,Socket and Drive Tools,Socket and Drive Tools
TMMS7,FSS181,Socket and Drive Tools,Socket and Drive Tools
TMMS7,STMM4.5,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX8E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FTX45E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX10E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX15E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX25E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,TTX20E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FTX60E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FAM8E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FA8E,Socket and Drive Tools,Socket and Drive Tools
FTX40E,FTX50E,Socket and Drive Tools,Socket and Drive Tools
HBBD16,PPB826A,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD8,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBPT24,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBFE16,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,HBBD32,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPC905B,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPSG105,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPSG103,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPCL60BK,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
HBBD16,PPSG106,"Hammers, Punches, and Chisels","Hammers, Punches, and Chisels"
STMM5.5,STMM6,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,STMM14,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,STMM13,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,STMM7,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,STMM8,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM4,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM11,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM14,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM8,Socket and Drive Tools,Socket and Drive Tools
STMM5.5,TMM5,Socket and Drive Tools,Socket and Drive Tools
AWTEFTP11K,SGD2BR,"Screwdrivers, Nut Drivers & Keys","Screwdrivers, Nut Drivers & Keys"
